msisdn,amount
919447095529,22
919447095530,22
919447095531,22
919447095532,22
919447095533,22
919447095534,22
919447095535,22
919447095536,22
919447095537,22
919447095538,22
919447095539,22
919447095540,22
919447095541,22
919447095542,22
919447095543,22
919447095544,22
919447095545,22
919447095546,22
919447095547,22
919447095548,22
919447095549,22
919447095550,22
919447095551,22
919447095552,22
919447095553,22
919447095554,22
919447095555,22
919447095556,22
919447095557,22
919447095558,22
919447095559,22
919447095560,22
919447095561,22
919447095562,22
919447095563,22
919447095564,22
919447095565,22
919447095566,22
919447095567,22
919447095568,22
919447095569,22
919447095570,22
919447095571,22
919447095572,22
919447095573,22
919447095574,22
919447095575,22
919447095576,22
919447095577,22
919447095578,22
919447095579,22
919447095580,22
919447095581,22
919447095582,22
919447095583,22
919447095584,22
919447095585,22
919447095586,22
919447095587,22
919447095588,22
919447095589,22
919447095590,22
919447095591,22
919447095592,22
919447095593,22
919447095594,22
919447095595,22
919447095596,22
919447095597,22
919447095598,22
919447095599,22
919447095600,22
919447095601,22
919447095602,22
919447095603,22
919447095604,22
919447095605,22
919447095606,22
919447095607,22
919447095608,22
919447095609,22
919447095610,22
919447095611,22
919447095612,22
919447095613,22
919447095614,22
919447095615,22
919447095616,22
919447095617,22
919447095618,22
919447095619,22
919447095620,22
919447095621,22
919447095622,22
919447095623,22
919447095624,22
919447095625,22
919447095626,22
919447095627,22
919447095628,22
919447095629,22
919447095630,22
919447095631,22
919447095632,22
919447095633,22
919447095634,22
919447095635,22
919447095636,22
919447095637,22
919447095638,22
919447095639,22
919447095640,22
919447095641,22
919447095642,22
919447095643,22
919447095644,22
919447095645,22
919447095646,22
919447095647,22
919447095648,22
919447095649,22
919447095650,22
919447095651,22
919447095652,22
919447095653,22
919447095654,22
919447095655,22
919447095656,22
919447095657,22
919447095658,22
919447095659,22
919447095660,22
919447095661,22
919447095662,22
919447095663,22
919447095664,22
919447095665,22
919447095666,22
919447095667,22
919447095668,22
919447095669,22
919447095670,22
919447095671,22
919447095672,22
919447095673,22
919447095674,22
919447095675,22
919447095676,22
919447095677,22
919447095678,22
919447095679,22
919447095680,22
919447095681,22
919447095682,22
919447095683,22
919447095684,22
919447095685,22
919447095686,22
919447095687,22
919447095688,22
919447095689,22
919447095690,22
919447095691,22
919447095692,22
919447095693,22
919447095694,22
919447095695,22
919447095696,22
919447095697,22
919447095698,22
919447095699,22
919447095700,22
919447095701,22
919447095702,22
919447095703,22
919447095704,22
919447095705,22
919447095706,22
919447095707,22
919447095708,22
919447095709,22
919447095710,22
919447095711,22
919447095712,22
919447095713,22
919447095714,22
919447095715,22
919447095716,22
919447095717,22
919447095718,22
919447095719,22
919447095720,22
919447095721,22
919447095722,22
919447095723,22
919447095724,22
919447095725,22
919447095726,22
919447095727,22
919447095728,22
919447095729,22
919447095730,22
919447095731,22
919447095732,22
919447095733,22
919447095734,22
919447095735,22
919447095736,22
919447095737,22
919447095738,22
919447095739,22
919447095740,22
919447095741,22
919447095742,22
919447095743,22
919447095744,22
919447095745,22
919447095746,22
919447095747,22
919447095748,22
919447095749,22
