msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
9.19048E+11,cfoixd,iqryex,USA,cfoixd@gmail.com,Hindi,Tamil,77,No,56
9.19918E+11,dyvkwk,jwpfny,Korea,dyvkwk@gmail.com,English,Urdu,241,Yes,45
9.19918E+11,ysmqyj,rmhukp,Pakisthan,ysmqyj@gmail.com,Korean,Urdu,89,Yes,37
9.19918E+11,eogacf,kkqmph,USA,eogacf@gmail.com,Korean,Tamil,33,Yes,41
9.19918E+11,mdahua,eglmpm,India,mdahua@gmail.com,English,Spanish,34,No,43
9.19918E+11,ajjpfx,oeprxh,Pakisthan,ajjpfx@gmail.com,Malayalam,Tamil,318,No,65
9.19918E+11,illmpn,tbundo,Pakisthan,illmpn@gmail.com,Malayalam,Spanish,286,No,37
9.19918E+11,efrtvt,chuuet,Korea,efrtvt@gmail.com,English,Mandarin,272,No,38
9.19918E+11,zztzdb,gwnrvx,Pakisthan,zztzdb@gmail.com,Malayalam,Urdu,41,No,19
9.19918E+11,birrgz,ymhghk,USA,birrgz@gmail.com,English,Urdu,203,No,36
9.19918E+11,fdodkq,tiufvf,USA,fdodkq@gmail.com,English,Spanish,268,Yes,38
9.19918E+11,pfhyne,qygghm,India,pfhyne@gmail.com,Malayalam,Spanish,349,Yes,59
9.19918E+11,mshhcm,powtri,Pakisthan,mshhcm@gmail.com,Malayalam,Mandarin,10,Yes,56
9.19918E+11,jynowu,dnwtam,USA,jynowu@gmail.com,Hindi,Mandarin,228,No,54
9.19918E+11,neihce,appwxe,India,neihce@gmail.com,Hindi,Urdu,313,No,37
9.19918E+11,rnvruu,koytsg,USA,rnvruu@gmail.com,Korean,Mandarin,299,No,51
9.19918E+11,fpcpxw,rwldpc,Pakisthan,fpcpxw@gmail.com,Malayalam,Mandarin,137,No,27
9.19918E+11,zklwxx,ucrszp,Pakisthan,zklwxx@gmail.com,Korean,Mandarin,49,Yes,50
9.19918E+11,gehivm,jzfzds,India,gehivm@gmail.com,Hindi,Urdu,291,Yes,38
9.19918E+11,ahdruc,zawicb,Pakisthan,ahdruc@gmail.com,Malayalam,Urdu,70,Yes,63
9.19918E+11,hewulu,kktiax,India,hewulu@gmail.com,Hindi,Mandarin,32,No,45
9.19918E+11,jpgqtt,cwodzw,Korea,jpgqtt@gmail.com,English,Spanish,50,Yes,20
9.19918E+11,ziiewv,kjpmmm,India,ziiewv@gmail.com,Hindi,Spanish,276,Yes,50
9.19918E+11,xtjzhi,lmgwrv,India,xtjzhi@gmail.com,Hindi,Tamil,131,No,69
9.19918E+11,mqguqc,rfrfnu,USA,mqguqc@gmail.com,English,Spanish,39,Yes,20
9.19918E+11,kqmweg,rybpjq,India,kqmweg@gmail.com,Korean,Spanish,258,Yes,59
9.19918E+11,tjiovk,mdvewt,India,tjiovk@gmail.com,Korean,Tamil,159,Yes,47
9.19918E+11,oklsah,drdxyl,India,oklsah@gmail.com,Hindi,Urdu,242,Yes,35
9.19918E+11,sxddiw,ehqksr,India,sxddiw@gmail.com,Malayalam,Mandarin,285,No,41
9.19918E+11,pxcjso,gjuyiw,Korea,pxcjso@gmail.com,English,Urdu,246,Yes,43
9.19918E+11,pjifmr,jvveeg,Pakisthan,pjifmr@gmail.com,Korean,Tamil,130,Yes,27
9.19918E+11,kkrimk,wwywmu,USA,kkrimk@gmail.com,Malayalam,Tamil,125,No,24
9.19918E+11,wvfmwy,gmwwgd,USA,wvfmwy@gmail.com,Malayalam,Spanish,46,Yes,19
9.19918E+11,hqmrqe,zfxmot,USA,hqmrqe@gmail.com,Korean,Tamil,156,Yes,51
9.19918E+11,cajddn,loasil,USA,cajddn@gmail.com,Malayalam,Urdu,100,Yes,61
9.19918E+11,idxxvq,bjqwfn,USA,idxxvq@gmail.com,Malayalam,Mandarin,152,No,34
9.19918E+11,bsfhxa,luuoay,Pakisthan,bsfhxa@gmail.com,Hindi,Mandarin,285,No,18
9.19918E+11,qihpwq,tyjqpy,Korea,qihpwq@gmail.com,Malayalam,Mandarin,46,Yes,15
9.19918E+11,wdyktk,obrnnz,Pakisthan,wdyktk@gmail.com,Hindi,Mandarin,167,No,58
9.19918E+11,iaeezk,hfyytj,Korea,iaeezk@gmail.com,Malayalam,Mandarin,353,Yes,32
9.19918E+11,bodffy,xmblql,Pakisthan,bodffy@gmail.com,Korean,Urdu,152,No,53
9.19918E+11,scipbs,cazsrj,USA,scipbs@gmail.com,English,Urdu,206,Yes,71
9.19918E+11,srqrwv,gorlgh,India,srqrwv@gmail.com,Hindi,Urdu,356,Yes,72
9.19918E+11,rlgqmw,huewzp,Pakisthan,rlgqmw@gmail.com,Korean,Spanish,351,Yes,25
9.19918E+11,ewuqbu,zprjao,Pakisthan,ewuqbu@gmail.com,Hindi,Urdu,216,Yes,63
9.19918E+11,ywjjjl,sgiwok,India,ywjjjl@gmail.com,Korean,Mandarin,154,Yes,74
9.19918E+11,zvzbri,znsyia,USA,zvzbri@gmail.com,Korean,Urdu,323,No,71
9.19918E+11,vtddtz,vruzaq,Pakisthan,vtddtz@gmail.com,Hindi,Mandarin,68,Yes,19
9.19918E+11,nwqroq,xvrrxs,Korea,nwqroq@gmail.com,Hindi,Urdu,384,No,26
9.19918E+11,kcfobr,zwxdrr,USA,kcfobr@gmail.com,Malayalam,Urdu,135,No,23
