msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age,device id,location insight,digital persona,demographic,larned behaviour,analytical scores,digital engagement,event-number,event-text,event-date(ddMMyy),event-quantity,event-value,usage metric value,usage metric date,usage metric value2,usage metric date2,Date Time,Date
919717802050,nqqldq,aqgxih,Pakisthan,nqqldq@gmail.com,Malayalam,Mandarin,24,Yes,37,4444,5,18,25,34,47,235,18,ijioni,120918,25,34,37,120918,50,100918,18/12/2018 10:22:55,17122018
919446506900,mpgixt,afrqtw,USA,mpgixt@gmail.com,Malayalam,Tamil,13,Yes,48,4444,5,17,25,37,47,238,17,okjj,120918,25,37,48,120918,45,100918,18/12/2018 10:22:55,17122018
919446506903,byqixm,poqnkc,Pakisthan,byqixm@gmail.com,English,Urdu,141,No,41,5555,4,18,24,34,48,234,18,fdgf,120918,24,34,41,120918,56,100918,18/12/2018 10:22:55,17122018
919446506902,yuotch,pgpzdj,Korea,yuotch@gmail.com,English,Tamil,200,Yes,47,4444,4,14,24,38,48,238,14,dfg,120918,24,38,47,120918,35,100918,18/12/2018 10:22:55,17122018
919922730005,weaupo,zjsesm,Pakisthan,weaupo@gmail.com,Hindi,Urdu,242,No,17,5555,8,18,28,34,44,234,18,fg,120918,28,34,17,120918,45,100918,18/12/2018 10:22:55,17122018
919922730006,gtzarn,ggbfvs,India,gtzarn@gmail.com,English,Tamil,16,Yes,62,4444,4,15,24,35,48,238,15,dfg,120918,24,35,62,120918,65,100918,18/12/2018 10:22:55,17122018
919922730007,kixpdo,duukff,Korea,kixpdo@gmail.com,English,Tamil,87,Yes,49,4444,4,14,24,38,48,238,14,dfg,120918,24,38,49,120918,70,100918,18/12/2018 10:22:55,17122018
919922730008,ppxyle,mzvqzs,USA,ppxyle@gmail.com,Malayalam,Spanish,103,No,41,5555,5,17,25,37,47,237,17,g,120918,25,37,41,120918,45,100918,18/12/2018 10:22:55,17122018
919922730009,ojhdxt,ekrvex,Pakisthan,ojhdxt@gmail.com,English,Urdu,166,Yes,46,4444,4,18,24,34,48,234,18,fdgf,120918,24,34,46,120918,71,100918,18/12/2018 10:22:55,17122018
919922730010,ekierf,ysfiqj,Korea,ekierf@gmail.com,English,Spanish,209,Yes,45,4444,4,14,24,38,48,237,14,fdgf,120918,24,38,45,120918,34,100918,18/12/2018 10:22:55,17122018
919922730011,czlaqg,mabnwk,Korea,czlaqg@gmail.com,Malayalam,Spanish,299,No,52,5555,5,14,25,38,47,237,14,dfg,120918,25,38,52,120918,72,100918,18/12/2018 10:22:55,17122018
919922730012,dpvgnn,vthsui,Korea,dpvgnn@gmail.com,English,Urdu,5,Yes,22,4444,4,14,24,38,48,234,14,gdf,120918,24,38,22,120918,18,100918,18/12/2018 10:22:55,17122018
919922730013,mhttnh,vtknet,USA,mhttnh@gmail.com,Hindi,Tamil,150,No,60,5555,8,17,28,37,44,238,17,g,120918,28,37,60,120918,23,100918,18/12/2018 10:22:55,17122018
