msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age,device id,location insight,digital persona,demographic,larned behaviour,analytical scores,digital engagement,Target Group_q11
919491750000,selenium1,flytxt1,India,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750001,selenium2,flytxt2,India,joel.jose@flytxt.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750002,selenium3,flytxt3,Pakisthan,joel.jose@flytxt.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750003,selenium4,flytxt4,USA,joel.jose@flytxt.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750004,selenium5,flytxt5,Pakisthan,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750005,selenium6,flytxt6,Korea,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750006,selenium7,flytxt7,Pakisthan,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750007,selenium8,flytxt8,India,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750008,selenium9,flytxt9,Korea,joel.jose@flytxt.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750009,selenium10,flytxt10,USA,joel.jose@flytxt.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750010,selenium11,flytxt11,USA,shobina.k@flytxt.com,Malayalam,English,200,Yes,42,7777,,,,,,,10
919491750011,selenium12,flytxt12,USA,shobina.k@flytxt.com,Malayalam,English,200,Yes,42,6666,,,,,,,10
919491750012,selenium13,flytxt13,USA,shobina.k@flytxt.com,Malayalam,English,200,Yes,42,6666,,,,,,,10
919491750013,selenium14,flytxt14,USA,shobina.k@flytxt.com,Malayalam,English,200,No,42,6666,,,,,,,10
919491750014,selenium15,flytxt15,USA,shobina.k@flytxt.com,Malayalam,English,258,No,42,6666,,,,,,,10
919491750015,ytpmsf,ayegse,Korea,ytpmsf@gmail.com,Malayalam,Mandarin,389,Yes,26,8888,10,21,27,38,48,237,10
919491750016,xyezdt,tjdqwx,India,xyezdt@gmail.com,Malayalam,Urdu,281,Yes,26,6785,7,25,34,45,48,256,10
919491750017,uamacj,dxonnn,Korea,uamacj@gmail.com,Malayalam,Mandarin,330,Yes,55,6785,7,25,34,45,48,256,10
919491750018,qxvbbr,whnnab,USA,qxvbbr@gmail.com,Malayalam,Urdu,60,Yes,24,6785,7,25,34,45,48,256,10
919491750019,yrnltc,guuijk,Korea,yrnltc@gmail.com,Malayalam,Urdu,216,Yes,63,6785,7,23,27,38,46,237,10
919491750020,fkemei,bwngvq,Pakisthan,fkemei@gmail.com,Malayalam,Mandarin,256,Yes,27,6785,7,18,27,38,46,237,10
919491750021,ozgcgk,otjzne,USA,ozgcgk@gmail.com,Malayalam,Urdu,321,Yes,25,6785,7,17,27,37,46,237,10
919491750022,jvapof,ysimrg,Korea,jvapof@gmail.com,Malayalam,Urdu,383,Yes,55,6785,8,23,28,38,46,237,10
919491750023,erndvy,sezqvq,USA,erndvy@gmail.com,Malayalam,Urdu,117,Yes,26,6785,8,17,28,37,46,237,10
919491750024,nkoexa,lsikfv,Pakisthan,nkoexa@gmail.com,Malayalam,Urdu,385,Yes,27,6785,8,18,28,38,46,237,10
919491750025,pwbikh,rionnk,India,pwbikh@gmail.com,Malayalam,Tamil,327,Yes,67,6785,7,23,27,38,46,238,10
919491750026,pfudjn,reyqxt,Korea,pfudjn@gmail.com,Malayalam,Urdu,123,Yes,51,6785,7,23,27,38,46,237,10
919491750027,xdpusk,adxurj,USA,xdpusk@gmail.com,Malayalam,Urdu,378,Yes,63,6785,7,25,34,45,48,256,10
919491750028,udrqvk,ojpikz,Korea,udrqvk@gmail.com,Malayalam,Spanish,130,Yes,72,6785,7,23,27,38,46,237,10
919491750029,anaqiz,qwmacp,Korea,anaqiz@gmail.com,Malayalam,Urdu,185,Yes,69,6785,7,25,34,45,48,256,10
919491750030,ouhlsa,ntudmw,Korea,ouhlsa@gmail.com,Malayalam,Mandarin,173,Yes,50,6785,8,23,28,38,46,237,10
919491750031,ztteaj,buetdr,USA,ztteaj@gmail.com,Malayalam,Tamil,5,Yes,68,6785,8,17,28,37,46,238,10
919491750032,stayhz,gkrlbd,India,stayhz@gmail.com,Malayalam,Spanish,216,Yes,24,6785,7,25,34,45,48,256,10
919491750033,rclqgl,zuafsj,Pakisthan,rclqgl@gmail.com,Malayalam,Mandarin,280,Yes,57,6785,8,18,28,38,46,237,10
919491750034,jesyhn,gbcram,India,jesyhn@gmail.com,Malayalam,Mandarin,164,Yes,56,6785,7,23,27,38,46,237,10
919491750035,tlgofy,ajmdkk,USA,tlgofy@gmail.com,Malayalam,Spanish,280,Yes,28,6785,7,17,27,37,46,237,10
919491750036,ciqztv,jsrzhk,India,ciqztv@gmail.com,Malayalam,Mandarin,123,Yes,26,6785,7,23,27,38,46,237,10
