msisdn,value1
919491750000,10
919491750001,10
919491750002,10
919491750003,10
919491750004,10
919491750005,10
919491750006,10
919491750007,10
919491750008,10
919491750009,10
919491750010,10
919491750011,10
919491750012,10
919491750013,10
919491750014,10
919491750015,10
919491750016,10
919491750017,10
919491750018,10
919491750019,10
919491750020,10
919491750021,10
919491750022,10
919491750023,10
919491750024,10
919491750025,10
919491750026,10
919491750027,10
919491750028,10
919491750029,10
919491750030,10
919491750031,10
919491750032,10
919491750033,10
919491750034,10
919491750035,10
919491750036,10
919491750037,10
919491750038,10
919491750039,10
919491750040,10
919491750041,10
919491750042,10
919491750043,10
919491750044,10
919491750045,10
919491750046,10
919491750047,10
919491750048,10
919491750049,10
919491750050,10
919491750051,10
919491750052,10
919491750053,10
919491750054,10
919491750055,10
919491750056,10
919491750057,10
919491750058,10
919491750059,10
919491750060,10
919491750061,10
919491750062,10
919491750063,10
919491750064,10
919491750065,10
919491750066,10
919491750067,10
919491750068,10
919491750069,10
919491750070,10
919491750071,10
919491750072,10
919491750073,10
919491750074,10
919491750075,10
919491750076,10
919491750077,10
919491750078,10
919491750079,10
919491750080,10
919491750081,10
919491750082,10
919491750083,10
919491750084,10
919491750085,10
919491750086,10
919491750087,10
919491750088,10
919491750089,10
919491750090,10
919491750091,10
919491750092,10
919491750093,10
919491750094,10
919491750095,10
919491750096,10
919491750097,10
919491750098,10
919491750099,10
919491750100,10
919491750101,10
919491750102,10
919491750103,10
919491750104,10
919491750105,10
919491750106,10
919491750107,10
919491750108,10
919491750109,10
919491750110,10
919491750111,10
919491750112,10
919491750113,10
919491750114,10
919491750115,10
919491750116,10
919491750117,10
919491750118,10
919491750119,10
919491750120,10
919491750121,10
919491750122,10
919491750123,10
919491750124,10
919491750125,10
919491750126,10
919491750127,10
919491750128,10
919491750129,10
919491750130,10
919491750131,10
919491750132,10
919491750133,10
919491750134,10
919491750135,10
919491750136,10
919491750137,10
919491750138,10
919491750139,10
919491750140,10
919491750141,10
919491750142,10
919491750143,10
919491750144,10
919491750145,10
919491750146,10
919491750147,10
919491750148,10
919491750149,10
919491750150,10
919491750151,10
919491750152,10
919491750153,10
919491750154,10
919491750155,10
919491750156,10
919491750157,10
919491750158,10
919491750159,10
919491750160,10
919491750161,10
919491750162,10
919491750163,10
919491750164,10
919491750165,10
919491750166,10
919491750167,10
919491750168,10
919491750169,10
919491750170,10
919491750171,10
919491750172,10
919491750173,10
919491750174,10
919491750175,10
919491750176,10
919491750177,10
919491750178,10
919491750179,10
919491750180,10
919491750181,10
919491750182,10
919491750183,10
919491750184,10
919491750185,10
919491750186,10
919491750187,10
919491750188,10
919491750189,10
919491750190,10
919491750191,10
919491750192,10
919491750193,10
919491750194,10
919491750195,10
919491750196,10
919491750197,10
919491750198,10
919491750199,10
919491750200,10
919491750201,10
919491750202,10
919491750203,10
919491750204,10
919491750205,10
919491750206,10
919491750207,10
919491750208,10
919491750209,10
919491750210,10
919491750211,10
919491750212,10
919491750213,10
919491750214,10
919491750215,10
919491750216,10
919491750217,10
919491750218,10
919491750219,10
919491750220,10
919491750221,10
919491750222,10
919491750223,10
919491750224,10
919491750225,10
919491750226,10
919491750227,10
919491750228,10
919491750229,10
919491750230,10
919491750231,11
919491750232,12
919491750233,13
919491750234,14
919491750235,15
919491750236,16
919491750237,17
919491750238,18
919491750239,19
919491750240,20
919491750241,21
919491750242,22
919491750243,23
919491750244,24
919491750245,25
919491750246,26
919491750247,27
919491750248,28
919491750249,29
919491750250,30
