msisdn,age
919491790001,18
919491790002,19
919491790003,20
919491790004,21
919491790005,22
919491790006,23
919491790007,24
919491790008,25
919491790009,26
919491790010,27
919491790011,28
919491790012,29
919491790013,30
919491790014,31
919491790015,32
919491790016,33
919491790017,34
919491790018,35
919491790019,36
919491790020,37
919491790021,38
919491790022,39
919491790023,40
919491790024,41
919491790025,42
919491790026,43
919491790027,44
919491790028,45
919491790029,46
919491790030,47
919491790031,48
919491790032,49
919491790033,50
919491790034,51
919491790035,52
919491790036,53
919491790037,54
919491790038,55
919491790039,56
919491790040,57
919491790041,58
919491790042,13
919491790043,14
919491790044,15
919491790045,16
919491790046,17
919491790047,18
919491790048,19
919491790049,20
919491790050,21
919491790051,22
919491790052,23
919491790053,24
919491790054,25
919491790055,26
919491790056,27
919491790057,28
919491790058,29
919491790059,30
919491790060,31
919491790061,32
919491790062,33
919491790063,34
919491790064,35
919491790065,36
919491790066,37
919491790067,38
919491790068,39
919491790069,40
919491790070,41
919491790071,42
919491790072,43
919491790073,44
919491790074,45
919491790075,46
919491790076,47
919491790077,48
919491790078,49
919491790079,50
919491790080,51
919491790081,52
919491790082,53
919491790083,54
919491790084,55
919491790085,56
919491790086,57
919491790087,58
919491790088,20
919491790089,20
919491790090,20
919491790091,20
919491790092,20
919491790093,20
919491790094,20
919491790095,20
919491790096,20
919491790097,20
919491790098,20
919491790099,20
919491790100,20
919491790101,20
919491790102,20
919491790103,20
919491790104,20
919491790105,20
919491790106,20
919491790107,20
919491790108,20
919491790109,20
919491790110,20
919491790111,20
919491790112,20
919491790113,20
919491790114,20
919491790115,20
919491790116,20
919491790117,20
919491790118,20
919491790119,20
919491790120,20
919491790121,20
919491790122,20
919491790123,20
919491790124,20
919491790125,20
919491790126,20
919491790127,20
919491790128,20
919491790129,20
919491790130,20
919491790131,20
919491790132,20
919491790133,20
919491790134,20
919491790135,20
919491790136,20
919491790137,20
919491790138,20
919491790139,20
919491790140,20
919491790141,20
919491790142,20
919491790143,20
919491790144,20
919491790145,20
919491790146,20
919491790147,20
919491790148,20
919491790149,20
919491790150,20
919491790151,20
919491790152,20
919491790153,20
919491790154,20
919491790155,20
919491790156,20
919491790157,20
919491790158,20
919491790159,20
919491790160,20
919491790161,20
919491790162,20
919491790163,20
919491790164,20
919491790165,20
919491790166,20
919491790167,20
919491790168,20
919491790169,20
919491790170,20
919491790171,20
919491790172,20
919491790173,20
919491790174,20
919491790175,20
919491790176,20
919491790177,20
919491790178,20
919491790179,20
919491790180,20
919491790181,20
919491790182,20
919491790183,20
919491790184,20
919491790185,20
919491790186,20
919491790187,20
919491790188,20
919491790189,20
919491790190,20
919491790191,20
919491790192,20
919491790193,20
919491790194,20
919491790195,20
919491790196,20
919491790197,20
919491790198,20
919491790199,20
919491790200,20
919491790201,20
919491790202,20
919491790203,20
919491790204,20
919491790205,20
919491790206,20
919491790207,20
919491790208,20
919491790209,20
919491790210,20
919491790211,20
919491790212,20
919491790213,20
919491790214,20
919491790215,20
919491790216,20
919491790217,20
919491790218,20
