msisdn,date
919491750000,15/12/19
919491750001,15/12/19
919491750002,15/12/19
919491750003,15/12/19
919491750004,15/12/19
919491750005,15/12/19
919491750006,15/12/19
919491750007,15/12/19
919491750008,15/12/19
919491750009,15/12/19
919491750010,
919491750011,
919491750012,
919491750013,
919491750014,
919491750015,15/12/19
919491750016,15/12/19
919491750017,15/12/19
919491750018,15/12/19
919491750019,15/12/19
919491750020,15/12/19
919491750021,15/12/19
919491750022,15/12/19
919491750023,15/12/19
919491750024,15/12/19
919491750025,15/12/19
919491750026,15/12/19
919491750027,15/12/19
919491750028,15/12/19
919491750029,15/12/19
919491750030,15/12/19
919491750031,15/12/19
919491750032,15/12/19
919491750033,15/12/19
919491750034,15/12/19
919491750035,15/12/19
919491750036,15/12/19
919491750037,15/12/19
919491750038,15/12/19
919491750039,15/12/19
919491750040,15/12/19
919491750041,15/12/19
919491750042,15/12/19
919491750043,15/12/19
919491750044,15/12/19
919491750045,15/12/19
919491750046,15/12/19
919491750047,15/12/19
919491750048,15/12/19
919491750049,15/12/19
919491750050,15/12/19
919491750051,15/12/19
919491750052,15/12/19
919491750053,15/12/19
919491750054,15/12/19
919491750055,15/12/19
919491750056,15/12/19
919491750057,15/12/19
919491750058,15/12/19
919491750059,15/12/19
919491750060,15/12/19
919491750061,15/12/19
919491750062,15/12/19
919491750063,15/12/19
919491750064,15/12/19
919491750065,15/12/19
919491750066,15/12/19
919491750067,15/12/19
919491750068,15/12/19
919491750069,15/12/19
919491750070,15/12/19
919491750071,15/12/19
919491750072,15/12/19
919491750073,15/12/19
919491750074,15/12/19
919491750075,15/12/19
919491750076,15/12/19
919491750077,15/12/19
919491750078,15/12/19
919491750079,15/12/19
919491750080,15/12/19
919491750081,15/12/19
919491750082,15/12/19
919491750083,15/12/19
919491750084,15/12/19
919491750085,15/12/19
919491750086,15/12/19
919491750087,15/12/19
919491750088,15/12/19
919491750089,15/12/19
919491750090,15/12/19
919491750091,15/12/19
919491750092,15/12/19
919491750093,15/12/19
919491750094,15/12/19
919491750095,15/12/19
919491750096,15/12/19
919491750097,15/12/19
919491750098,15/12/19
919491750099,15/12/19
919491750100,15/12/19
919491750101,15/12/19
919491750102,15/12/19
919491750103,15/12/19
919491750104,15/12/19
919491750105,15/12/19
919491750106,15/12/19
919491750107,15/12/19
919491750108,15/12/19
919491750109,15/12/19
919491750110,15/12/19
919491750111,15/12/19
919491750112,15/12/19
919491750113,15/12/19
919491750114,15/12/19
919491750115,15/12/19
919491750116,15/12/19
919491750117,15/12/19
919491750118,15/12/19
919491750119,15/12/19
919491750120,15/12/19
919491750121,15/12/19
919491750122,15/12/19
919491750123,15/12/19
919491750124,15/12/19
919491750125,15/12/19
919491750126,15/12/19
919491750127,15/12/19
919491750128,15/12/19
919491750129,15/12/19
919491750130,15/12/19
919491750131,15/12/19
919491750132,15/12/19
919491750133,15/12/19
919491750134,15/12/19
919491750135,15/12/19
919491750136,15/12/19
919491750137,15/12/19
919491750138,15/12/19
919491750139,15/12/19
919491750140,15/12/19
919491750141,15/12/19
919491750142,15/12/19
919491750143,15/12/19
919491750144,15/12/19
919491750145,15/12/19
919491750146,15/12/19
919491750147,15/12/19
919491750148,15/12/19
919491750149,15/12/19
919491750150,15/12/19
919491750151,15/12/19
919491750152,15/12/19
919491750153,15/12/19
919491750154,15/12/19
919491750155,15/12/19
919491750156,15/12/19
919491750157,15/12/19
919491750158,15/12/19
919491750159,15/12/19
919491750160,15/12/19
919491750161,15/12/19
919491750162,15/12/19
919491750163,15/12/19
919491750164,15/12/19
919491750165,15/12/19
919491750166,15/12/19
919491750167,15/12/19
919491750168,15/12/19
919491750169,15/12/19
919491750170,15/12/19
919491750171,15/12/19
919491750172,15/12/19
919491750173,15/12/19
919491750174,15/12/19
919491750175,15/12/19
919491750176,15/12/19
919491750177,15/12/19
919491750178,15/12/19
919491750179,15/12/19
919491750180,15/12/19
919491750181,15/12/19
919491750182,15/12/19
919491750183,15/12/19
919491750184,15/12/19
919491750185,15/12/19
919491750186,15/12/19
919491750187,15/12/19
919491750188,15/12/19
919491750189,15/12/19
919491750190,15/12/19
919491750191,15/12/19
919491750192,15/12/19
919491750193,15/12/19
919491750194,15/12/19
919491750195,15/12/19
919491750196,15/12/19
919491750197,15/12/19
919491750198,15/12/19
919491750199,15/12/19
919491750200,15/12/19
919491750201,15/12/19
919491750202,15/12/19
919491750203,15/12/19
919491750204,15/12/19
919491750205,15/12/19
919491750206,15/12/19
919491750207,15/12/19
919491750208,15/12/19
919491750209,15/12/19
919491750210,15/12/19
919491750211,15/12/19
919491750212,15/12/19
919491750213,15/12/19
919491750214,15/12/19
919491750215,15/12/19
919491750216,15/12/19
919491750217,15/12/19
919491750218,15/12/19
919491750219,15/12/19
919491750220,15/12/19
919491750221,15/12/19
919491750222,15/12/19
919491750223,15/12/19
919491750224,15/12/19
919491750225,15/12/19
919491750226,15/12/19
919491750227,15/12/19
919491750228,15/12/19
919491750229,15/12/19
919491750230,15/12/19
919491750231,15/12/19
919491750232,15/12/19
919491750233,15/12/19
919491750234,15/12/19
919491750235,15/12/19
919491750236,15/12/19
919491750237,15/12/19
919491750238,15/12/19
919491750239,15/12/19
919491750240,15/12/19
919491750241,15/12/19
919491750242,15/12/19
919491750243,15/12/19
919491750244,15/12/19
919491750245,15/12/19
919491750246,15/12/19
919491750247,15/12/19
919491750248,15/12/19
919491750249,15/12/19
919491750250,15/12/19
919491750251,15/12/19
919491750252,15/12/19
919491750253,15/12/19
919491750254,15/12/19
919491750255,15/12/19
919491750256,15/12/19
919491750257,15/12/19
919491750258,15/12/19
919491750259,15/12/19
919491750260,15/12/19
919491750261,15/12/19
919491750262,15/12/19
919491750263,15/12/19
919491750264,15/12/19
919491750265,15/12/19
919491750266,15/12/19
919491750267,15/12/19
919491750268,15/12/19
919491750269,15/12/19
919491750270,15/12/19
919491750271,15/12/19
919491750272,15/12/19
919491750273,15/12/19
919491750274,15/12/19
919491750275,15/12/19
919491750276,15/12/19
919491750277,15/12/19
919491750278,15/12/19
919491750279,15/12/19
919491750280,15/12/19
919491750281,15/12/19
919491750282,15/12/19
919491750283,15/12/19
919491750284,15/12/19
919491750285,15/12/19
919491750286,15/12/19
919491750287,15/12/19
919491750288,15/12/19
919491750289,15/12/19
919491750290,15/12/19
919491750291,15/12/19
919491750292,15/12/19
919491750293,15/12/19
919491750294,15/12/19
919491750295,15/12/19
919491750296,15/12/19
919491750297,15/12/19
919491750298,15/12/19
919491750299,15/12/19
919491750300,15/12/19
919491750301,15/12/19
919491750302,15/12/19
919491750303,15/12/19
919491750304,15/12/19
919491750305,15/12/19
919491750306,15/12/19
919491750307,15/12/19
919491750308,15/12/19
919491750309,15/12/19
919491750310,15/12/19
919491750311,15/12/19
919491750312,15/12/19
919491750313,15/12/19
919491750314,15/12/19
919491750315,15/12/19
919491750316,15/12/19
919491750317,15/12/19
919491750318,15/12/19
919491750319,15/12/19
919491750320,15/12/19
919491750321,15/12/19
919491750322,15/12/19
919491750323,15/12/19
919491750324,15/12/19
919491750325,15/12/19
919491750326,15/12/19
919491750327,15/12/19
919491750328,15/12/19
919491750329,15/12/19
919491750330,15/12/19
919491750331,15/12/19
919491750332,15/12/19
919491750333,15/12/19
919491750334,15/12/19
919491750335,15/12/19
919491750336,15/12/19
919491750337,15/12/19
919491750338,15/12/19
919491750339,15/12/19
919491750340,15/12/19
919491750341,15/12/19
919491750342,15/12/19
919491750343,15/12/19
919491750344,15/12/19
919491750345,15/12/19
919491750346,15/12/19
919491750347,15/12/19
919491750348,15/12/19
919491750349,15/12/19
919491750350,15/12/19
919491750351,15/12/19
919491750352,15/12/19
919491750353,15/12/19
919491750354,15/12/19
919491750355,15/12/19
919491750356,15/12/19
919491750357,15/12/19
919491750358,15/12/19
919491750359,15/12/19
919491750360,15/12/19
919491750361,15/12/19
919491750362,15/12/19
919491750363,15/12/19
919491750364,15/12/19
919491750365,15/12/19
919491750366,15/12/19
919491750367,15/12/19
919491750368,15/12/19
919491750369,15/12/19
919491750370,15/12/19
919491750371,15/12/19
919491750372,15/12/19
919491750373,15/12/19
919491750374,15/12/19
919491750375,15/12/19
919491750376,15/12/19
919491750377,15/12/19
919491750378,15/12/19
919491750379,15/12/19
919491750380,15/12/19
919491750381,15/12/19
919491750382,15/12/19
919491750383,15/12/19
919491750384,15/12/19
919491750385,15/12/19
919491750386,15/12/19
919491750387,15/12/19
919491750388,15/12/19
919491750389,15/12/19
919491750390,15/12/19
919491750391,15/12/19
919491750392,15/12/19
919491750393,15/12/19
919491750394,15/12/19
919491750395,15/12/19
919491750396,15/12/19
919491750397,15/12/19
919491750398,15/12/19
919491750399,15/12/19
919491750400,15/12/19
919491750401,15/12/19
919491750402,15/12/19
919491750403,15/12/19
919491750404,15/12/19
919491750405,15/12/19
919491750406,15/12/19
919491750407,15/12/19
919491750408,15/12/19
919491750409,15/12/19
919491750410,15/12/19
919491750411,15/12/19
919491750412,15/12/19
919491750413,15/12/19
919491750414,15/12/19
919491750415,15/12/19
919491750416,15/12/19
919491750417,15/12/19
919491750418,15/12/19
919491750419,15/12/19
919491750420,15/12/19
919491750421,15/12/19
919491750422,15/12/19
919491750423,15/12/19
919491750424,15/12/19
919491750425,15/12/19
919491750426,15/12/19
919491750427,15/12/19
919491750428,15/12/19
919491750429,15/12/19
919491750430,15/12/19
919491750431,15/12/19
919491750432,15/12/19
919491750433,15/12/19
919491750434,15/12/19
919491750435,15/12/19
919491750436,15/12/19
919491750437,15/12/19
919491750438,15/12/19
919491750439,15/12/19
919491750440,15/12/19
919491750441,15/12/19
919491750442,15/12/19
919491750443,15/12/19
919491750444,15/12/19
919491750445,15/12/19
919491750446,15/12/19
919491750447,15/12/19
919491750448,15/12/19
919491750449,15/12/19
919491750450,15/12/19
919491750451,15/12/19
919491750452,15/12/19
919491750453,15/12/19
919491750454,15/12/19
919491750455,15/12/19
919491750456,15/12/19
919491750457,15/12/19
919491750458,15/12/19
919491750459,15/12/19
