msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age,device id,location insight,digital persona,demographic,larned behaviour,analytical scores,digital engagement,Target Group_q11
919491750000,selenium1,flytxt1,India,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750001,selenium2,flytxt2,India,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750002,selenium3,flytxt3,Pakisthan,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750003,selenium4,flytxt4,USA,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750004,selenium5,flytxt5,Pakisthan,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750005,selenium6,flytxt6,Korea,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750006,selenium7,flytxt7,Pakisthan,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750007,selenium8,flytxt8,India,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750008,selenium9,flytxt9,Korea,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750009,selenium10,flytxt10,USA,selenium.flytxt@gmail.com,Malayalam,English,200,Yes,25,7777,9,20,40,40,55,245,10
919491750010,selenium11,,USA,shobina.k@flytxt.com,Malayalam,English,200,Yes,,7777,,,,,,,10
919491750011,selenium12,,USA,shobina.k@flytxt.com,Malayalam,English,200,Yes,,6666,,,,,,,10
919491750012,selenium13,,USA,shobina.k@flytxt.com,Malayalam,English,200,Yes,,6666,,,,,,,10
919491750013,selenium14,,USA,shobina.k@flytxt.com,Malayalam,English,200,No,,6666,,,,,,,10
919491750014,selenium15,,USA,shobina.k@flytxt.com,Malayalam,English,258,No,,6666,,,,,,,10
919491750015,ytpmsf,flytxt10,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,389,Yes,,8888,10,21,27,38,48,237,10
919491750016,xyezdt,tjdqwx,India,shobina.k@flytxt.com,Malayalam,Urdu,281,Yes,26,6785,7,25,34,45,48,256,10
919491750017,uamacj,dxonnn,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,330,Yes,55,6785,7,25,34,45,48,256,10
919491750018,qxvbbr,whnnab,USA,shobina.k@flytxt.com,Malayalam,Urdu,60,Yes,24,6785,7,25,34,45,48,256,10
919491750019,yrnltc,guuijk,Korea,shobina.k@flytxt.com,Malayalam,Urdu,216,Yes,63,6785,7,23,27,38,46,237,10
919491750020,fkemei,bwngvq,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,256,Yes,27,6785,7,18,27,38,46,237,10
